@relation ps_c8_a_15_t_all
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MMTBE  real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
94.00, 86.50, 14.20, 32.00, 2.08, 0.30, 201 
93.90, 86.50, 14.10, 32.10, 2.12, 0.20, 201 
94.20, 86.60, 14.20, 32.20, 2.08, 0.20, 201 
94.80, 85.50, 13.80, 32.70, 2.12, 0.00, 201 
92.90, 83.00, 17.00, 30.20, 1.89, 0.00, 201 
94.30, 84.80, 17.60, 28.70, 1.73, 0.00, 201 
95.60, 84.70, 18.80, 28.90, 2.01, 0.00, 201 
95.40, 84.10, 17.00, 30.30, 1.83, 0.00, 201 
94.20, 86.80, 13.80, 31.40, 1.96, 1.00, 201 
93.40, 84.80, 18.10, 27.10, 1.79, 0.00, 201 
94.60, 86.40, 16.20, 28.60, 1.87, 0.00, 201 
96.00, 85.90, 17.60, 28.80, 1.87, 1.50, 302 
95.80, 85.70, 15.40, 30.00, 2.12, 3.70, 302 
95.80, 85.70, 15.40, 30.00, 2.12, 3.70, 302 
96.10, 87.10, 14.90, 30.20, 2.12, 4.30, 302 
94.20, 86.50, 14.00, 32.70, 2.08, 0.30, 302 
95.60, 86.20, 15.20, 29.10, 2.11, 4.40, 302 
94.60, 83.40, 13.00, 34.00, 0.42, 0.50, 202 
95.10, 84.20, 13.30, 34.00, 0.41, 0.60, 202 
95.90, 89.50, 8.70, 29.40, 0.10, 4.40, 301 
94.80, 85.60, 12.50, 34.80, 0.07, 4.40, 301 
96.50, 86.10, 13.10, 34.40, 0.21, 4.90, 301 
96.70, 86.70, 13.30, 33.50, 0.34, 5.80, 301 
94.40, 86.10, 14.00, 20.40, 0.40, 14.50, 301 
95.10, 86.00, 13.20, 22.50, 0.32, 13.10, 301 
95.70, 87.30, 13.90, 25.20, 0.31, 11.20, 301 
95.60, 85.50, 12.70, 32.70, 0.31, 5.70, 301 
94.50, 86.90, 13.80, 33.30, 0.25, 4.80, 301 
96.60, 85.90, 15.20, 33.50, 0.17, 4.10, 301 
95.80, 85.20, 15.20, 34.50, 0.21, 5.20, 301 
96.60, 86.50, 14.70, 34.30, 0.16, 3.50, 301 
97.20, 86.50, 16.60, 33.00, 0.29, 7.30, 301 
97.80, 86.80, 17.60, 32.40, 0.26, 8.40, 301 
94.90, 86.50, 9.10, 28.60, 0.26, 8.40, 301 
94.60, 85.40, 11.10, 23.80, 0.32, 13.50, 301 
98.30, 86.10, 4.30, 31.70, 0.33, 10.50, 301 
94.50, 86.40, 12.90, 22.40, 0.37, 12.80, 301 
95.00, 86.50, 13.10, 22.00, 0.31, 13.70, 301 
95.50, 86.00, 13.50, 23.90, 0.34, 13.60, 301 
95.70, 86.60, 13.50, 31.80, 0.24, 3.90, 301 
95.50, 84.50, 12.50, 34.80, 0.04, 2.70, 301 
95.40, 85.80, 13.40, 24.20, 0.30, 13.60, 301 
95.20, 85.70, 12.40, 26.00, 0.21, 10.30, 301 
95.60, 87.60, 11.50, 26.00, 0.40, 11.40, 301 
96.00, 85.90, 11.30, 26.80, 0.46, 10.30, 301 
95.10, 85.40, 11.90, 22.00, 0.34, 14.50, 301 
95.10, 86.70, 14.10, 24.10, 0.58, 10.70, 301 
96.90, 90.30, 9.40, 22.70, 0.25, 10.80, 301 
95.40, 85.60, 13.20, 21.60, 0.36, 15.20, 301 
95.00, 85.70, 12.70, 20.70, 0.35, 15.70, 301 
95.10, 84.70, 10.70, 27.60, 0.30, 13.80, 301 
97.40, 87.60, 11.70, 26.80, 0.40, 10.50, 301 
95.10, 86.80, 11.70, 26.60, 0.46, 11.70, 301 
96.30, 89.90, 11.20, 24.80, 0.46, 11.50, 301 
94.80, 86.40, 10.30, 25.30, 0.28, 12.00, 301 
96.10, 87.00, 12.00, 27.00, 0.35, 11.30, 301 
101.30, 89.60, 7.90, 37.40, 0.21, 12.00, 401 
99.10, 89.20, 7.20, 35.30, 0.41, 11.80, 401 
87.10, 81.00, 1.20, 37.10, 3.20, 0.00, 101 
85.80, 80.90, 3.90, 38.60, 3.64, 0.30, 101 
73.60, 77.80, 3.50, 10.00, 1.46, 2.80, 101 
73.40, 77.90, 4.00, 8.70, 1.72, 2.90, 101 
75.20, 79.80, 5.30, 10.20, 1.39, 2.70, 101 
71.40, 77.80, 5.30, 10.70, 1.50, 2.60, 101 
74.70, 78.70, 6.00, 11.10, 1.79, 2.60, 101 
75.00, 77.20, 6.80, 9.70, 1.52, 2.20, 101 
72.50, 77.00, 6.30, 10.60, 1.65, 2.40, 101 
74.00, 76.90, 5.50, 9.50, 1.74, 2.20, 101 
75.80, 77.80, 1.60, 19.80, 3.63, 0.00, 100 
72.10, 77.30, 5.00, 12.80, 1.68, 2.70, 101 
74.00, 76.60, 3.70, 10.90, 1.40, 3.30, 101 
74.80, 78.10, 4.10, 9.00, 1.93, 3.00, 101 
72.90, 78.20, 6.00, 11.80, 2.08, 2.10, 101 
78.70, 78.30, 2.10, 21.10, 3.60, 0.30, 100 
75.50, 77.80, 4.90, 21.10, 4.09, 0.00, 100 
76.00, 77.80, 5.20, 23.30, 4.18, 0.00, 100 
80.80, 78.20, 5.50, 27.40, 3.79, 0.30, 100 
75.40, 77.70, 2.40, 23.20, 3.51, 0.00, 100 
75.90, 77.70, 1.40, 23.30, 4.06, 0.00, 100 
77.40, 78.80, 5.80, 22.00, 3.61, 0.00, 100 
80.40, 76.90, 5.40, 33.10, 4.24, 1.10, 100 
78.70, 76.80, 5.40, 25.70, 4.33, 1.10, 100 
76.90, 77.70, 5.20, 26.10, 3.70, 0.00, 100 
77.20, 78.60, 5.60, 21.60, 3.59, 0.00, 100 
77.50, 78.40, 5.40, 21.80, 3.54, 0.00, 100 
77.00, 78.20, 5.10, 23.20, 3.99, 0.00, 100 
75.80, 78.00, 2.50, 22.50, 3.79, 0.00, 100 
77.00, 76.90, 1.30, 25.80, 4.03, 0.30, 100 
79.00, 79.60, 1.30, 22.40, 3.18, 0.80, 100 
84.90, 82.20, 4.30, 24.10, 3.39, 0.50, 100 
77.00, 78.20, 1.80, 23.30, 4.25, 0.00, 100 
77.60, 78.10, 4.80, 24.10, 4.37, 0.20, 100 
77.60, 78.50, 3.60, 22.30, 3.51, 0.40, 100 
77.90, 77.30, 1.30, 23.40, 3.76, 0.90, 100 
78.90, 78.20, 2.80, 22.00, 3.37, 0.60, 100 
76.20, 78.30, 2.40, 20.20, 3.83, 0.40, 100 
96.90, 85.60, 14.30, 33.40, 0.21, 6.40, 301 
97.00, 86.50, 14.60, 33.30, 0.27, 6.60, 301 
96.70, 86.50, 13.50, 33.70, 0.17, 4.50, 301 
96.10, 85.50, 14.80, 34.40, 0.20, 5.10, 301 
96.60, 87.20, 11.20, 33.90, 0.24, 5.10, 301 
95.30, 85.20, 12.70, 29.80, 6.90, 0.60, 301 
94.80, 85.70, 14.00, 23.20, 0.35, 13.40, 301 
95.50, 86.30, 13.60, 27.50, 0.24, 8.40, 301 
96.00, 85.90, 13.20, 33.50, 0.21, 4.50, 301 
96.30, 86.30, 15.30, 30.80, 0.26, 5.90, 301 
97.90, 86.50, 17.20, 33.70, 0.22, 8.40, 301 
95.70, 86.20, 13.40, 34.00, 0.17, 4.80, 301 
95.60, 85.90, 15.20, 29.30, 0.34, 8.80, 301 
94.70, 86.40, 13.30, 22.30, 0.32, 13.10, 301 
94.90, 85.30, 13.60, 25.00, 0.28, 11.90, 301 
95.60, 86.40, 13.70, 23.50, 0.36, 12.30, 301 
96.00, 85.90, 13.40, 32.90, 0.17, 4.40, 301 
96.40, 87.40, 14.10, 28.80, 0.53, 7.10, 301 
96.40, 85.70, 13.40, 34.40, 0.17, 4.20, 301 
95.40, 87.00, 13.80, 25.30, 0.33, 10.90, 301 
95.30, 86.20, 11.50, 26.70, 0.41, 12.20, 301 
94.80, 86.10, 9.70, 27.00, 0.30, 9.40, 301 
95.80, 85.10, 11.70, 28.20, 0.34, 14.20, 301 
95.00, 85.60, 9.60, 27.20, 0.31, 9.90, 301 
95.20, 87.60, 11.40, 25.10, 0.40, 11.30, 301 
95.20, 85.40, 13.20, 22.30, 0.36, 14.50, 301 
95.40, 85.70, 12.60, 22.20, 0.37, 14.50, 301 
95.30, 86.50, 13.80, 24.30, 0.60, 11.30, 301 
95.10, 86.20, 13.60, 22.00, 0.34, 13.50, 301 
95.40, 85.60, 13.20, 22.00, 0.36, 14.70, 301 
95.30, 86.50, 13.40, 22.40, 0.34, 11.40, 301 
95.40, 87.30, 12.20, 27.00, 0.65, 10.20, 301 
95.20, 85.10, 10.70, 27.20, 0.42, 9.40, 301 
95.40, 87.30, 12.00, 26.20, 0.42, 12.30, 301 
94.80, 85.60, 7.50, 26.30, 0.28, 11.90, 301 
96.00, 86.00, 10.30, 22.90, 0.39, 13.10, 301 
96.00, 86.00, 10.30, 22.90, 0.39, 13.10, 301 
95.80, 86.70, 11.00, 26.60, 0.43, 10.70, 301 
96.20, 87.00, 10.90, 26.00, 0.59, 9.80, 301 
96.30, 86.30, 12.00, 26.80, 0.51, 11.60, 301 
99.20, 88.20, 7.20, 35.50, 0.37, 11.50, 401 
99.90, 88.70, 7.50, 33.00, 0.16, 12.90, 401 
99.00, 88.80, 7.30, 37.50, 0.15, 12.00, 401 
98.00, 87.00, 7.30, 34.80, 0.01, 12.30, 401 
78.30, 79.00, 6.00, 22.90, 3.63, 0.00, 100 
81.70, 80.90, 5.90, 23.40, 3.48, 0.30, 100 
79.50, 76.80, 6.10, 30.40, 3.96, 1.30, 100 
88.80, 83.70, 11.90, 27.60, 2.66, 0.50, 100 
96.50, 86.20, 16.30, 30.00, 0.30, 9.00, 301 
92.40, 83.40, 10.40, 30.20, 0.77, 0.20, 201 
78.30, 78.10, 2.50, 21.70, 3.52, 0.20, 100 
78.30, 78.10, 2.60, 21.70, 3.54, 0.20, 100 
76.30, 78.00, 5.00, 21.70, 4.30, 0.00, 100 
80.60, 79.30, 2.70, 22.90, 3.20, 0.00, 100 
92.50, 83.50, 10.60, 30.60, 0.77, 0.30, 201 
92.60, 83.60, 11.20, 29.80, 0.79, 0.30, 201 
94.10, 84.40, 12.00, 31.20, 0.99, 0.30, 201 
92.80, 83.80, 11.30, 30.00, 0.96, 0.40, 201 
92.50, 83.50, 10.30, 30.80, 0.80, 0.00, 201 
93.30, 84.10, 13.60, 31.50, 0.78, 0.50, 201 
93.40, 84.20, 17.90, 25.50, 0.50, 0.40, 201 
92.50, 83.80, 18.00, 25.90, 0.44, 0.40, 201 
94.40, 84.90, 12.10, 39.80, 0.57, 0.00, 202 
94.40, 85.00, 13.20, 34.40, 0.52, 0.30, 202 
93.90, 84.30, 12.10, 35.90, 0.49, 0.30, 202 
93.40, 83.90, 12.00, 36.20, 0.55, 0.00, 202 
95.10, 85.20, 12.20, 35.30, 0.56, 0.30, 202 
93.50, 84.20, 13.40, 32.70, 2.15, 0.00, 202 
94.50, 84.80, 15.60, 31.70, 2.16, 0.30, 202 
93.80, 84.60, 14.40, 32.20, 2.20, 0.30, 202 
93.80, 84.60, 13.90, 32.30, 2.02, 0.30, 202 
93.70, 84.60, 10.40, 34.00, 1.20, 0.00, 202 
94.30, 84.50, 14.40, 33.00, 2.12, 0.50, 202 
93.90, 84.40, 12.00, 36.50, 0.52, 0.00, 202 
95.10, 85.10, 13.60, 34.50, 0.51, 0.40, 202 
94.50, 84.80, 16.20, 30.90, 2.07, 0.40, 202 
92.40, 83.60, 10.50, 25.10, 0.43, 4.90, 203 
92.90, 83.90, 17.50, 23.90, 0.81, 5.40, 203 
93.70, 83.80, 18.30, 25.50, 0.81, 4.90, 203 
95.10, 86.00, 20.10, 23.10, 0.94, 5.10, 203 
90.50, 83.70, 11.20, 20.80, 0.53, 0.90, 203 
94.80, 85.00, 12.40, 25.70, 0.65, 11.10, 301 
94.30, 84.90, 8.80, 24.00, 0.81, 13.40, 301 
95.30, 85.30, 9.60, 26.20, 0.82, 13.10, 301 
94.80, 84.80, 9.50, 24.40, 0.53, 11.30, 301 
94.40, 84.40, 12.40, 28.20, 0.41, 10.80, 301 
96.30, 85.40, 13.70, 27.30, 0.81, 10.40, 301 
95.50, 85.00, 12.40, 26.90, 0.09, 12.80, 301 
94.30, 85.10, 12.10, 24.10, 0.61, 12.80, 301 
95.30, 85.60, 10.80, 25.20, 0.50, 13.50, 301 
94.80, 85.10, 10.60, 25.00, 0.62, 12.80, 301 
95.00, 85.00, 12.50, 30.20, 0.51, 9.80, 301 
95.10, 85.00, 11.70, 29.90, 0.50, 10.20, 301 
94.60, 84.80, 12.30, 23.40, 0.51, 13.20, 301 
94.50, 85.00, 10.90, 23.70, 0.58, 12.30, 301 
95.70, 86.10, 9.80, 25.60, 0.60, 11.10, 301 
94.70, 84.80, 8.70, 25.70, 0.85, 13.60, 301 
94.80, 84.60, 11.30, 24.80, 0.46, 12.40, 301 
96.70, 86.60, 9.10, 31.10, 0.27, 9.60, 301 
94.00, 84.60, 12.40, 28.40, 0.22, 8.70, 301 
97.50, 84.50, 17.10, 28.50, 0.41, 8.30, 301 
95.10, 85.90, 10.90, 24.80, 0.65, 9.80, 301 
95.40, 85.70, 9.50, 26.10, 0.56, 9.70, 301 
95.10, 84.90, 6.70, 28.90, 0.57, 9.20, 301 
95.10, 85.70, 9.80, 26.80, 0.73, 7.80, 301 
94.80, 86.20, 12.00, 23.20, 0.45, 6.80, 301 
95.60, 85.40, 16.60, 25.70, 0.66, 4.80, 301 
95.20, 85.00, 16.40, 25.20, 0.66, 4.50, 301 
95.10, 85.10, 10.50, 27.70, 0.50, 4.10, 301 
82.40, 77.00, 2.50, 29.20, 3.34, 0.00, 100 
80.10, 75.90, 3.30, 23.50, 3.14, 0.00, 100 
80.00, 76.10, 3.20, 20.20, 3.05, 0.00, 100 
80.90, 77.20, 4.10, 18.80, 3.57, 0.50, 100 
94.40, 85.50, 10.40, 23.80, 0.37, 4.90, 301 
94.50, 85.60, 12.60, 24.10, 0.37, 5.00, 301 
98.20, 88.10, 3.00, 33.00, 0.37, 14.40, 401 
98.00, 88.30, 3.00, 32.80, 0.34, 5.40, 401 
82.00, 76.60, 1.60, 28.80, 3.18, 0.00, 100 
83.70, 77.60, 2.80, 33.20, 3.50, 0.30, 100 
81.00, 76.50, 4.30, 23.80, 3.44, 0.30, 100 
80.50, 76.20, 1.60, 24.10, 3.84, 0.50, 100 
82.50, 76.80, 0.90, 32.70, 3.94, 0.00, 100 
79.40, 75.10, 0.00, 25.60, 3.52, 0.20, 100 
80.70, 76.60, 4.00, 22.70, 3.29, 0.40, 100 
81.10, 76.50, 2.30, 24.30, 3.69, 0.60, 100 
79.30, 76.00, 0.50, 20.40, 3.83, 0.70, 100 
80.10, 76.00, 1.00, 23.20, 4.04, 0.60, 100 
80.30, 76.30, 0.70, 23.40, 3.84, 0.70, 100 
75.20, 77.40, 5.80, 21.50, 3.75, 0.50, 100 
75.10, 78.80, 6.30, 21.80, 3.94, 0.80, 100 
81.20, 76.50, 4.50, 25.70, 3.50, 0.40, 100 
81.50, 76.90, 1.40, 26.60, 3.83, 0.60, 100 
80.10, 76.00, 0.00, 25.40, 3.71, 0.40, 100 
79.40, 75.80, 0.00, 24.10, 3.81, 0.50, 100 
80.00, 75.90, 0.00, 25.30, 3.66, 0.50, 100 
80.20, 75.90, 2.10, 26.20, 3.73, 0.50, 100 
80.20, 75.90, 2.10, 26.20, 3.73, 0.50, 100 
83.00, 77.40, 4.10, 25.70, 3.40, 1.20, 100 
81.00, 76.60, 0.30, 25.20, 3.60, 0.60, 100 
94.90, 84.90, 12.10, 29.50, 0.50, 9.40, 301 
95.40, 85.00, 9.90, 29.70, 0.52, 12.30, 301 
95.30, 85.80, 9.30, 25.90, 0.69, 11.40, 301 
93.00, 83.90, 16.40, 25.90, 0.84, 4.70, 203 
90.80, 83.90, 12.10, 22.80, 0.58, 0.90, 203 
92.50, 83.60, 12.00, 21.20, 0.63, 0.70, 203 
92.20, 83.80, 12.10, 23.20, 0.45, 0.80, 203 
93.10, 83.90, 16.70, 25.50, 0.83, 5.20, 203 
94.60, 84.60, 12.40, 36.10, 0.97, 0.60, 203 
91.00, 84.10, 11.80, 23.40, 0.59, 1.10, 203 
93.80, 83.80, 17.70, 26.70, 0.75, 4.60, 203 
92.80, 83.60, 16.80, 26.10, 0.81, 3.90, 203 
92.10, 84.10, 12.00, 23.10, 0.56, 0.90, 203 
94.10, 85.20, 12.10, 25.80, 0.71, 4.40, 301 
95.50, 84.80, 15.40, 23.80, 0.65, 11.60, 301 
94.60, 84.30, 12.50, 28.30, 0.40, 10.80, 301 
94.70, 84.60, 12.30, 28.60, 0.22, 10.10, 301 
95.30, 85.10, 10.50, 27.70, 0.60, 12.30, 301 
95.10, 85.10, 11.50, 25.40, 0.63, 12.80, 301 
96.10, 85.60, 13.20, 27.20, 0.67, 12.80, 301 
94.40, 84.70, 11.60, 29.30, 0.32, 9.10, 301 
94.80, 85.00, 11.80, 24.30, 0.55, 13.00, 301 
96.00, 86.20, 9.90, 26.70, 0.68, 10.60, 301 
95.50, 85.30, 14.30, 25.90, 0.62, 12.90, 301 
95.20, 84.60, 14.70, 24.80, 0.50, 11.80, 301 
97.40, 84.70, 9.50, 23.70, 0.71, 11.20, 301 
93.90, 84.70, 12.30, 26.40, 0.33, 12.20, 301 
93.90, 84.70, 12.30, 26.50, 0.33, 12.20, 301 
94.50, 84.80, 11.60, 24.20, 0.61, 12.80, 301 
95.90, 86.30, 10.60, 26.30, 0.60, 10.00, 301 
95.60, 86.00, 10.50, 26.30, 0.64, 9.30, 301 
95.50, 86.10, 10.70, 24.90, 0.37, 8.00, 301 
95.60, 85.10, 15.80, 23.40, 0.68, 12.00, 301 
95.10, 86.30, 12.80, 22.90, 0.46, 7.80, 301 
95.20, 85.60, 9.90, 27.60, 0.54, 7.00, 301 
98.60, 88.10, 2.10, 33.90, 0.23, 14.50, 401 
98.40, 87.50, 1.80, 35.30, 0.06, 14.00, 401 
94.70, 85.20, 13.40, 23.80, 0.72, 12.80, 301 
95.90, 85.20, 13.70, 26.30, 0.68, 12.80, 301 
94.90, 84.70, 13.70, 26.00, 0.64, 11.60, 301 
95.20, 86.20, 11.50, 24.50, 0.57, 8.70, 301 
94.50, 84.50, 12.50, 36.20, 0.97, 0.60, 203 
91.50, 83.70, 13.70, 27.50, 0.41, 3.20, 203 
91.20, 83.50, 12.30, 22.60, 0.61, 2.00, 203 
92.00, 83.90, 12.80, 22.20, 0.62, 1.90, 203 
80.90, 76.40, 3.90, 22.80, 3.09, 0.70, 100 
81.10, 76.50, 3.40, 22.70, 2.97, 0.40, 100 
80.80, 76.60, 4.00, 21.50, 3.25, 0.60, 100 
82.80, 77.50, 3.50, 29.00, 3.51, 0.30, 100 
81.00, 76.60, 4.10, 23.80, 3.47, 0.30, 100 
80.50, 76.30, 0.80, 24.70, 3.95, 0.60, 100 
76.00, 78.50, 6.20, 19.10, 3.82, 1.10, 100 
76.30, 78.60, 6.10, 19.10, 3.76, 1.00, 100 
82.60, 77.30, 0.20, 30.00, 4.01, 5.00, 100 
