@relation ps_c8_a_15_t_all
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MMTBE  real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
94.30, 85.40, 8.40, 23.90, 0.32, 15.20, 301 
97.50, 85.30, 10.00, 25.10, 0.29, 15.90, 301 
94.70, 85.10, 10.10, 25.60, 0.34, 15.30, 301 
93.60, 84.70, 10.30, 23.40, 0.33, 15.30, 301 
94.90, 85.50, 10.50, 24.30, 0.35, 15.30, 301 
94.50, 84.80, 10.90, 27.00, 0.20, 15.30, 301 
96.20, 85.60, 14.30, 32.00, 0.68, 6.60, 301 
96.80, 86.00, 14.50, 33.50, 0.78, 8.80, 301 
97.00, 85.90, 17.40, 29.40, 0.54, 8.00, 301 
96.70, 85.20, 17.70, 30.10, 0.63, 6.30, 301 
97.00, 85.90, 18.00, 29.20, 0.55, 7.40, 301 
95.50, 85.90, 9.50, 28.20, 0.41, 12.70, 301 
96.70, 86.80, 10.20, 22.70, 0.32, 15.00, 301 
94.80, 85.40, 10.40, 24.90, 0.35, 15.00, 301 
94.10, 85.60, 10.70, 24.50, 0.39, 13.90, 301 
93.50, 84.40, 11.10, 24.60, 0.19, 15.70, 301 
95.10, 84.70, 11.20, 28.70, 0.28, 15.10, 301 
96.00, 85.00, 12.40, 27.30, 0.48, 16.00, 301 
94.40, 85.60, 10.10, 24.50, 0.35, 14.90, 301 
94.30, 85.50, 10.30, 24.70, 0.35, 14.90, 301 
93.90, 85.50, 10.40, 24.40, 0.39, 13.50, 301 
94.90, 85.00, 10.50, 24.30, 0.37, 15.00, 301 
93.70, 85.30, 10.50, 24.50, 0.31, 13.10, 301 
95.00, 85.00, 10.80, 23.80, 0.32, 15.90, 301 
94.70, 85.20, 11.10, 24.00, 0.33, 14.80, 301 
94.70, 85.20, 11.10, 24.00, 0.33, 14.80, 301 
94.80, 85.30, 11.20, 24.60, 0.34, 15.10, 301 
95.70, 86.20, 10.00, 25.20, 0.11, 13.10, 301 
94.80, 85.20, 10.10, 25.80, 0.12, 13.60, 301 
