@relation ps_c8_a_13_t_11-12
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
93.60, 84.30, 11.80, 30.80, 0.89, 0.10, 0.00, 0.00, 0.30, 0.30, 0.00, 0.00, 0.00, 201 
93.50, 84.70, 12.20, 31.20, 0.99, 0.15, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 201 
93.70, 84.60, 14.20, 30.30, 0.89, 0.13, 0.00, 0.00, 0.20, 0.70, 0.00, 0.00, 0.00, 201 
93.90, 83.70, 15.10, 29.70, 0.80, 0.25, 0.00, 0.00, 0.50, 0.60, 0.00, 0.00, 0.00, 201 
94.00, 84.60, 15.40, 28.80, 0.97, 0.16, 0.00, 0.00, 0.70, 0.00, 0.00, 0.20, 0.00, 201 
91.90, 84.00, 9.40, 32.10, 0.89, 0.15, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 201 
92.60, 84.10, 9.90, 33.60, 0.91, 0.09, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 201 
92.80, 84.40, 11.30, 31.10, 0.94, 0.09, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 201 
92.00, 83.60, 11.90, 29.80, 0.84, 0.13, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 201 
94.20, 84.40, 13.50, 32.00, 0.96, 0.16, 0.00, 0.00, 0.60, 0.30, 0.00, 0.00, 0.00, 201 
94.20, 84.50, 13.80, 31.40, 0.97, 0.18, 0.00, 0.00, 0.80, 0.20, 0.00, 0.00, 0.00, 201 
94.20, 84.50, 14.20, 31.40, 0.97, 0.19, 0.00, 0.00, 0.80, 0.30, 0.00, 0.00, 0.00, 201 
93.20, 84.20, 12.30, 31.30, 0.85, 0.05, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 201 
93.50, 84.60, 13.10, 30.60, 0.88, 0.09, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 201 
93.80, 84.40, 13.20, 30.20, 0.89, 0.07, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 201 
93.90, 84.50, 14.30, 29.80, 0.96, 0.14, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 201 
94.30, 84.50, 14.50, 31.10, 0.96, 0.13, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 201 
