@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
76.80, 75.20, 2.10, 79.90, 13.80, 3.43, 2.20, 6.00, 0.69, 0.00, 0.00, 1.00, 0.00, 1.60, 1.60, 0.00, 100 
78.60, 76.50, 2.20, 77.10, 16.70, 3.70, 3.00, 6.00, 0.66, 0.00, 0.00, 1.00, 0.00, 1.40, 1.60, 0.00, 100 
76.70, 78.00, 5.10, 70.60, 21.40, 3.76, 4.60, 5.60, 0.48, 0.00, 0.00, 0.30, 0.00, 1.10, 1.50, 0.00, 100 
75.00, 77.60, 5.60, 70.90, 19.90, 3.67, 3.70, 5.80, 0.58, 0.00, 0.00, 0.60, 0.00, 1.20, 1.80, 0.00, 100 
75.40, 77.70, 5.70, 70.80, 20.10, 3.63, 3.80, 5.90, 0.56, 0.00, 0.00, 0.40, 0.00, 1.30, 1.80, 0.00, 100 
79.70, 80.10, 5.00, 70.10, 22.20, 3.76, 4.90, 5.80, 0.43, 0.00, 0.00, 0.30, 0.00, 1.10, 1.30, 0.00, 100 
80.10, 76.00, 2.70, 71.80, 22.00, 3.71, 4.20, 7.90, 0.56, 0.00, 0.00, 0.80, 0.00, 1.30, 1.30, 0.00, 100 
79.50, 76.70, 3.80, 73.10, 19.50, 3.43, 4.20, 7.00, 0.59, 0.00, 0.00, 1.00, 0.00, 1.20, 1.40, 0.00, 100 
82.30, 81.30, 4.80, 70.70, 21.40, 3.59, 4.70, 5.80, 0.50, 0.00, 0.00, 0.50, 0.00, 1.20, 1.40, 0.00, 100 
78.30, 79.00, 5.10, 70.50, 21.20, 3.64, 4.80, 5.60, 0.52, 0.00, 0.00, 0.70, 0.00, 1.10, 1.40, 0.00, 100 
76.60, 78.30, 5.10, 68.80, 23.20, 4.25, 4.80, 6.10, 0.47, 0.00, 0.00, 0.40, 0.00, 1.10, 1.40, 0.00, 100 
75.70, 78.00, 5.40, 71.10, 19.90, 3.63, 4.40, 5.00, 0.50, 0.00, 0.00, 0.40, 0.00, 1.20, 1.50, 0.00, 100 
76.30, 77.70, 5.40, 69.30, 22.40, 3.76, 4.70, 6.50, 0.47, 0.00, 0.00, 0.40, 0.00, 1.10, 1.40, 0.00, 100 
75.20, 77.70, 5.60, 71.30, 20.20, 3.58, 4.30, 5.00, 0.47, 0.00, 0.00, 0.40, 0.00, 1.10, 1.40, 0.00, 100 
73.60, 77.10, 5.80, 71.00, 20.00, 3.53, 3.60, 5.80, 0.52, 0.00, 0.00, 0.40, 0.00, 1.20, 1.60, 0.00, 100 
74.30, 77.40, 5.80, 71.50, 23.20, 3.43, 3.80, 5.40, 0.55, 0.00, 0.00, 0.50, 0.00, 1.30, 1.60, 0.00, 100 
75.50, 77.80, 6.20, 70.10, 19.90, 3.28, 4.10, 5.60, 0.58, 0.00, 0.00, 0.60, 0.00, 1.30, 1.70, 0.00, 100 
80.40, 77.10, 2.80, 73.00, 20.90, 3.45, 3.80, 7.50, 0.54, 0.00, 0.00, 0.80, 0.00, 1.30, 1.20, 0.00, 100 
82.10, 77.00, 3.10, 66.00, 28.00, 3.83, 5.40, 9.70, 0.48, 0.00, 0.00, 0.70, 0.00, 1.00, 1.20, 0.00, 100 
80.30, 76.80, 3.20, 70.50, 23.10, 3.54, 4.40, 8.40, 0.53, 0.00, 0.00, 0.70, 0.00, 1.30, 1.20, 0.00, 100 
82.00, 78.10, 3.50, 70.20, 23.20, 3.50, 5.00, 8.70, 0.49, 0.00, 0.00, 0.80, 0.00, 1.00, 1.20, 0.00, 100 
80.90, 76.80, 3.60, 67.00, 26.30, 3.64, 5.00, 9.10, 0.51, 0.00, 0.00, 0.70, 0.00, 1.20, 1.20, 0.00, 100 
80.00, 77.00, 3.80, 68.70, 24.40, 3.61, 5.10, 9.00, 0.51, 0.00, 0.00, 0.70, 0.00, 1.20, 1.20, 0.00, 100 
81.60, 77.40, 3.90, 67.70, 25.40, 3.69, 5.30, 9.40, 0.49, 0.00, 0.00, 0.70, 0.00, 1.10, 1.20, 0.00, 100 
81.30, 76.80, 3.90, 64.20, 28.90, 3.74, 5.70, 10.40, 0.49, 0.00, 0.00, 0.70, 0.00, 1.10, 1.20, 0.00, 100 
80.40, 76.90, 4.10, 69.80, 22.70, 3.52, 4.80, 8.60, 0.54, 0.00, 0.00, 0.80, 0.00, 1.20, 1.30, 0.00, 100 
80.90, 77.00, 4.20, 67.90, 24.60, 3.75, 4.90, 9.10, 0.54, 0.00, 0.00, 0.80, 0.00, 1.20, 1.30, 0.00, 100 
81.20, 77.10, 4.20, 67.00, 26.30, 3.64, 5.20, 9.30, 0.54, 0.00, 0.00, 0.80, 0.00, 1.20, 1.30, 0.00, 100 
81.30, 77.20, 4.20, 67.50, 25.20, 3.63, 5.20, 9.20, 0.51, 0.00, 0.00, 0.00, 0.00, 1.20, 1.20, 0.00, 100 
73.80, 77.20, 5.90, 70.70, 20.00, 3.58, 3.60, 5.80, 0.55, 0.00, 0.00, 0.50, 0.00, 1.30, 1.60, 0.00, 100 
76.10, 77.80, 5.90, 68.80, 21.80, 3.80, 4.60, 5.70, 0.57, 0.00, 0.00, 0.60, 0.00, 1.30, 1.60, 0.00, 100 
75.40, 77.80, 6.10, 70.80, 24.70, 4.24, 3.80, 6.00, 0.53, 0.00, 0.00, 0.50, 0.00, 1.20, 1.60, 0.00, 100 
82.00, 76.80, 3.00, 65.90, 28.40, 3.74, 5.40, 9.80, 0.44, 0.00, 0.00, 0.60, 0.00, 1.10, 1.10, 0.00, 100 
79.90, 75.50, 1.10, 72.50, 23.80, 3.45, 3.50, 7.20, 0.42, 0.00, 0.00, 0.40, 0.00, 1.20, 1.00, 0.00, 100 
80.20, 76.30, 1.50, 71.90, 23.90, 3.30, 3.50, 7.40, 0.43, 0.00, 0.00, 0.50, 0.00, 1.10, 1.00, 0.00, 100 
82.10, 76.60, 1.50, 67.40, 29.60, 3.85, 4.60, 9.60, 0.38, 0.00, 0.00, 0.40, 0.00, 0.90, 0.90, 0.00, 100 
82.10, 77.60, 2.80, 66.00, 28.40, 3.82, 5.40, 9.40, 0.46, 0.00, 0.00, 0.60, 0.00, 1.10, 1.10, 0.00, 100 
81.70, 77.30, 2.90, 66.90, 27.30, 3.87, 5.10, 9.30, 0.48, 0.00, 0.00, 0.60, 0.00, 1.20, 1.10, 0.00, 100 
82.00, 77.60, 3.40, 68.30, 25.40, 3.72, 4.70, 8.20, 0.48, 0.00, 0.00, 0.70, 0.00, 1.10, 1.10, 0.00, 100 
75.90, 77.20, 4.60, 69.10, 24.20, 3.77, 5.00, 6.90, 0.32, 0.00, 0.00, 0.00, 0.00, 0.80, 1.20, 0.00, 100 
75.20, 77.50, 4.80, 71.40, 20.90, 3.29, 4.60, 5.50, 0.48, 0.00, 0.00, 0.70, 0.00, 1.00, 1.20, 0.00, 100 
78.50, 80.30, 5.10, 72.10, 19.20, 3.86, 4.40, 4.90, 0.47, 0.00, 0.00, 0.50, 0.00, 1.20, 1.30, 0.00, 100 
81.50, 76.80, 1.60, 64.90, 32.40, 4.04, 5.10, 9.90, 0.19, 0.00, 0.00, 0.60, 0.00, 0.00, 0.50, 0.00, 100 
81.40, 77.30, 1.80, 71.50, 24.40, 3.19, 4.00, 7.60, 0.38, 0.00, 0.00, 0.40, 0.00, 1.00, 0.90, 0.00, 100 
82.00, 76.20, 1.90, 64.80, 31.40, 3.46, 5.20, 9.70, 0.31, 0.00, 0.00, 0.30, 0.00, 0.80, 0.70, 0.00, 100 
78.90, 76.40, 3.60, 73.50, 21.00, 4.11, 3.70, 6.90, 0.32, 0.00, 0.00, 1.00, 0.00, 0.40, 0.50, 0.00, 100 
78.20, 76.00, 3.70, 75.10, 19.30, 4.04, 3.20, 6.30, 0.32, 0.00, 0.00, 1.00, 0.00, 0.40, 0.50, 0.00, 100 
77.60, 75.60, 3.80, 76.80, 17.50, 3.51, 3.00, 5.60, 0.31, 0.00, 0.00, 0.90, 0.00, 0.30, 0.60, 0.00, 100 
77.60, 75.50, 4.50, 76.00, 17.60, 4.00, 2.60, 6.50, 0.32, 0.00, 0.00, 1.00, 0.00, 0.40, 0.50, 0.00, 100 
75.80, 77.20, 4.60, 69.10, 24.40, 3.81, 5.00, 7.00, 0.30, 0.00, 0.00, 0.00, 0.00, 0.80, 1.10, 0.00, 100 
78.00, 78.10, 4.70, 67.70, 24.60, 3.35, 5.50, 6.60, 0.50, 0.00, 0.00, 1.20, 0.00, 0.80, 1.00, 0.00, 100 
76.20, 77.80, 5.30, 70.40, 22.50, 3.44, 4.80, 6.20, 0.30, 0.00, 0.00, 0.00, 0.00, 0.80, 1.10, 0.00, 100 
78.00, 76.30, 4.70, 75.60, 17.40, 4.25, 3.10, 6.20, 0.39, 0.00, 0.00, 1.20, 0.00, 0.50, 0.60, 0.00, 100 
75.80, 77.10, 4.80, 67.40, 25.00, 2.98, 5.60, 6.50, 0.46, 0.00, 0.00, 0.60, 0.40, 0.80, 1.00, 0.00, 100 
80.20, 76.80, 4.80, 68.80, 24.50, 4.04, 4.80, 8.70, 0.34, 0.00, 0.00, 0.90, 0.00, 0.40, 0.50, 0.00, 100 
80.30, 76.60, 4.90, 67.00, 26.00, 4.13, 5.20, 9.60, 0.34, 0.00, 0.00, 0.90, 0.00, 0.50, 0.60, 0.00, 100 
78.50, 76.60, 5.10, 75.40, 17.30, 3.84, 3.40, 6.10, 0.39, 0.00, 0.00, 1.20, 0.00, 0.40, 0.70, 0.00, 100 
73.60, 77.40, 5.40, 71.60, 20.00, 3.06, 4.10, 4.90, 0.49, 0.00, 0.00, 0.50, 0.70, 0.90, 0.90, 0.00, 100 
92.50, 83.70, 17.30, 54.20, 27.10, 0.42, 5.60, 3.80, 0.24, 0.00, 0.00, 0.00, 0.00, 0.50, 1.00, 0.00, 201 
93.70, 83.90, 11.20, 51.90, 34.50, 0.00, 9.00, 7.00, 0.38, 0.00, 0.00, 0.20, 0.30, 0.80, 1.10, 0.00, 202 
93.90, 84.10, 11.30, 52.00, 34.20, 0.00, 8.80, 7.00, 0.40, 0.00, 0.00, 0.30, 0.30, 0.80, 1.10, 0.00, 202 
93.60, 83.90, 11.10, 52.20, 34.10, 0.00, 8.80, 6.80, 0.42, 0.00, 0.00, 0.30, 0.40, 0.80, 1.10, 0.00, 202 
93.50, 83.90, 11.10, 52.60, 34.00, 0.00, 8.90, 6.70, 0.37, 0.00, 0.00, 0.30, 0.20, 0.80, 1.20, 0.00, 202 
75.90, 78.10, 5.20, 72.10, 19.50, 3.69, 3.90, 5.20, 0.53, 0.00, 0.00, 0.40, 0.00, 1.10, 1.80, 0.00, 100 
75.60, 78.20, 5.40, 72.60, 18.70, 3.37, 3.70, 5.50, 0.53, 0.00, 0.00, 0.40, 0.00, 1.10, 1.80, 0.00, 100 
94.40, 85.20, 13.00, 47.40, 24.00, 0.18, 5.70, 5.50, 2.79, 0.00, 0.00, 13.30, 0.00, 1.10, 1.20, 0.00, 301 
93.80, 84.70, 12.10, 47.50, 24.80, 0.26, 6.00, 5.00, 2.79, 0.00, 0.00, 13.20, 0.00, 1.20, 1.20, 0.00, 301 
96.60, 87.00, 12.60, 49.80, 24.90, 0.28, 6.30, 5.80, 2.62, 0.00, 0.00, 12.20, 0.00, 1.30, 1.20, 0.00, 301 
93.40, 84.70, 11.20, 48.40, 22.20, 0.26, 5.40, 4.70, 3.26, 0.00, 0.00, 15.60, 0.00, 1.40, 1.20, 0.00, 301 
93.70, 84.20, 12.40, 47.20, 28.90, 0.25, 7.10, 6.90, 2.05, 0.00, 0.00, 9.40, 0.00, 0.90, 1.20, 0.00, 301 
93.80, 85.00, 11.90, 48.70, 23.80, 0.32, 6.00, 5.10, 2.79, 0.00, 0.00, 13.20, 0.00, 1.10, 1.30, 0.00, 301 
74.80, 78.30, 5.90, 72.10, 18.10, 3.30, 3.50, 4.60, 0.63, 0.00, 0.00, 0.60, 0.00, 1.50, 1.80, 0.00, 100 
76.20, 78.60, 5.40, 71.90, 18.90, 3.93, 3.80, 5.00, 0.61, 0.00, 0.00, 0.60, 0.00, 1.30, 1.90, 0.00, 100 
92.40, 83.40, 10.40, 59.10, 30.20, 0.77, 6.30, 5.30, 0.04, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 201 
94.10, 84.70, 20.10, 50.10, 27.80, 1.50, 5.90, 4.90, 0.20, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 3.00, 201 
94.50, 85.20, 16.00, 50.00, 29.70, 1.81, 6.80, 6.30, 0.60, 0.00, 0.00, 2.20, 0.60, 0.20, 0.00, 3.00, 201 
93.00, 84.40, 17.70, 55.10, 26.50, 1.40, 5.80, 4.50, 0.11, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 201 
93.20, 84.40, 19.70, 50.80, 28.20, 1.31, 5.80, 4.60, 0.23, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 3.00, 201 
93.60, 83.70, 15.40, 50.90, 31.80, 1.68, 6.70, 6.00, 0.33, 0.00, 0.00, 0.00, 1.50, 0.00, 0.00, 4.00, 201 
93.30, 83.60, 14.70, 51.60, 31.80, 1.60, 6.90, 5.80, 0.33, 0.00, 0.00, 0.00, 1.50, 0.00, 0.00, 4.00, 201 
93.40, 84.90, 18.40, 53.40, 27.90, 1.66, 6.50, 5.30, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 201 
93.50, 84.50, 16.80, 52.80, 30.00, 1.96, 7.10, 6.20, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.00, 201 
93.80, 84.70, 16.50, 51.30, 31.60, 2.04, 7.60, 6.60, 0.09, 0.00, 0.00, 0.00, 0.30, 0.00, 0.30, 0.00, 201 
93.10, 83.70, 18.30, 50.40, 29.60, 1.32, 6.10, 4.80, 0.29, 0.00, 0.00, 0.00, 1.40, 0.00, 0.00, 4.00, 201 
95.70, 87.20, 14.00, 53.60, 27.40, 1.63, 6.50, 5.90, 0.90, 0.00, 0.00, 3.90, 0.90, 0.00, 0.00, 0.00, 201 
93.90, 85.80, 15.20, 52.90, 30.70, 2.13, 7.30, 6.90, 0.21, 0.00, 0.00, 0.40, 0.40, 0.00, 0.20, 0.00, 201 
94.00, 84.70, 13.40, 52.90, 31.70, 1.97, 7.10, 6.90, 0.36, 0.00, 0.00, 0.90, 0.80, 0.00, 0.00, 3.00, 201 
93.90, 84.20, 13.20, 52.50, 32.70, 1.93, 7.20, 7.00, 0.28, 0.00, 0.00, 0.00, 1.20, 0.00, 0.00, 4.00, 201 
94.30, 83.70, 15.50, 50.00, 31.00, 1.79, 6.70, 6.10, 0.61, 0.00, 0.00, 2.40, 0.50, 0.30, 0.00, 2.00, 201 
95.20, 86.00, 19.70, 52.30, 26.80, 1.85, 6.00, 5.40, 0.22, 0.00, 0.00, 0.70, 0.30, 0.00, 0.00, 2.00, 201 
94.60, 86.30, 17.80, 52.50, 28.40, 1.71, 6.50, 5.50, 0.22, 0.00, 0.00, 0.70, 0.60, 0.00, 0.00, 0.00, 201 
93.70, 83.50, 15.70, 53.10, 29.40, 1.46, 6.20, 5.20, 0.32, 0.00, 0.00, 0.00, 1.60, 0.00, 0.00, 3.00, 201 
94.80, 85.00, 16.20, 53.40, 28.50, 1.75, 6.60, 5.90, 0.34, 0.00, 0.00, 1.20, 0.50, 0.00, 0.00, 0.00, 201 
94.70, 86.10, 17.10, 51.70, 27.00, 1.71, 6.50, 5.80, 0.77, 0.00, 0.00, 3.70, 0.00, 0.00, 0.20, 3.00, 201 
94.70, 85.10, 17.50, 50.40, 28.80, 1.60, 6.50, 5.80, 0.59, 0.00, 0.00, 2.20, 0.60, 0.00, 0.00, 4.00, 201 
94.60, 86.00, 17.10, 51.60, 27.00, 1.72, 6.60, 5.80, 0.79, 0.00, 0.00, 3.70, 0.00, 0.00, 0.30, 3.00, 201 
93.90, 84.10, 18.80, 52.60, 27.90, 1.76, 6.10, 5.50, 0.11, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 201 
93.80, 85.00, 16.50, 54.60, 27.40, 1.82, 6.60, 5.70, 0.25, 0.00, 0.00, 0.70, 0.20, 0.30, 0.00, 0.00, 201 
94.30, 85.70, 18.50, 52.70, 27.80, 1.69, 6.20, 5.60, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 201 
94.80, 86.90, 16.70, 53.30, 27.50, 1.67, 6.30, 5.60, 0.46, 0.00, 0.00, 2.00, 0.60, 0.00, 0.00, 0.00, 201 
93.90, 85.20, 18.00, 52.20, 28.70, 1.75, 6.40, 5.90, 0.17, 0.00, 0.00, 0.00, 1.10, 0.00, 0.00, 0.00, 201 
94.20, 84.70, 17.50, 54.10, 28.00, 1.73, 6.30, 5.50, 0.08, 0.00, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 201 
94.40, 84.20, 14.20, 52.30, 29.50, 1.56, 6.60, 5.70, 0.68, 0.00, 0.00, 1.80, 1.30, 0.50, 0.00, 3.00, 201 
93.70, 83.70, 14.80, 54.00, 29.50, 1.52, 6.40, 5.40, 0.29, 0.00, 0.00, 0.00, 1.40, 0.00, 0.00, 3.00, 201 
94.70, 84.20, 14.70, 52.30, 29.10, 1.57, 6.40, 5.70, 0.69, 0.00, 0.00, 2.00, 1.20, 0.30, 0.00, 4.00, 201 
94.90, 85.10, 19.60, 50.40, 28.60, 1.78, 6.20, 5.70, 0.22, 0.00, 0.00, 0.00, 1.10, 0.00, 0.00, 2.00, 201 
94.40, 85.70, 19.10, 51.30, 28.70, 1.97, 6.20, 6.00, 0.13, 0.00, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 201 
93.80, 84.10, 18.90, 50.70, 29.10, 1.81, 6.10, 5.70, 0.23, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 3.00, 201 
93.60, 84.30, 19.20, 51.60, 28.40, 1.91, 6.20, 5.70, 0.14, 0.00, 0.00, 0.00, 0.60, 0.00, 0.00, 2.00, 201 
95.00, 86.00, 19.40, 52.90, 25.80, 1.42, 5.70, 4.60, 0.36, 0.00, 0.00, 1.30, 0.50, 0.00, 0.00, 2.00, 201 
94.90, 86.00, 19.30, 52.80, 25.90, 1.43, 5.80, 4.60, 0.36, 0.00, 0.00, 1.40, 0.40, 0.00, 0.00, 2.00, 201 
94.90, 86.00, 19.30, 52.80, 25.90, 1.43, 5.80, 4.60, 0.36, 0.00, 0.00, 1.40, 0.40, 0.00, 0.00, 2.00, 201 
94.80, 83.90, 18.30, 51.40, 28.70, 1.66, 5.90, 5.40, 0.27, 0.00, 0.00, 0.00, 1.30, 0.00, 0.00, 3.00, 201 
94.80, 84.70, 17.30, 53.10, 28.10, 1.79, 6.30, 5.70, 0.27, 0.00, 0.00, 0.70, 0.60, 0.00, 0.00, 2.00, 201 
94.60, 84.80, 17.40, 53.20, 27.90, 1.81, 6.33, 5.70, 0.27, 0.00, 0.00, 0.70, 0.60, 0.00, 0.00, 2.00, 201 
94.50, 85.80, 17.90, 52.30, 28.20, 1.78, 6.40, 5.80, 0.27, 0.00, 0.00, 0.70, 0.90, 0.00, 0.00, 0.00, 201 
95.00, 86.40, 19.60, 52.70, 26.00, 1.38, 5.70, 4.60, 0.29, 0.00, 0.00, 0.90, 0.80, 0.00, 0.00, 0.00, 201 
94.60, 84.50, 17.20, 53.00, 28.10, 1.75, 6.20, 5.60, 0.29, 0.00, 0.00, 0.60, 0.70, 0.00, 0.00, 3.00, 201 
95.50, 84.20, 17.90, 52.20, 29.20, 1.91, 6.30, 6.00, 0.11, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 201 
94.50, 84.90, 19.40, 52.30, 27.90, 1.99, 6.50, 5.80, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 201 
95.20, 84.40, 19.00, 53.20, 27.50, 1.91, 6.10, 5.60, 0.06, 0.00, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 201 
93.50, 84.50, 19.40, 52.30, 27.90, 1.95, 6.20, 5.70, 0.06, 0.00, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 201 
95.70, 84.80, 17.30, 53.50, 28.40, 1.90, 6.70, 5.80, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.00, 201 
95.50, 84.70, 19.70, 50.30, 28.90, 1.86, 6.10, 5.70, 0.19, 0.00, 0.00, 0.00, 0.80, 0.00, 0.00, 3.00, 201 
94.50, 84.80, 18.10, 53.80, 27.40, 1.80, 6.40, 5.40, 0.11, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 201 
94.40, 86.00, 18.20, 53.40, 27.80, 1.75, 6.30, 5.50, 0.11, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 201 
94.50, 85.70, 16.40, 53.00, 29.80, 2.03, 7.00, 6.20, 0.11, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 201 
95.20, 84.70, 18.00, 52.70, 28.90, 2.07, 6.90, 6.30, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.40, 0.00, 201 
94.10, 85.10, 18.80, 51.10, 29.00, 1.94, 6.30, 6.00, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 201 
94.80, 90.60, 15.10, 59.70, 24.20, 1.57, 5.40, 4.30, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 201 
94.80, 84.30, 18.60, 52.30, 28.10, 1.80, 6.30, 5.70, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 201 
94.30, 85.10, 19.20, 51.10, 28.70, 1.83, 6.30, 5.90, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 201 
94.30, 85.20, 18.60, 51.50, 29.00, 1.93, 6.50, 6.20, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 201 
95.40, 84.70, 18.20, 52.80, 28.50, 2.01, 6.60, 6.00, 0.08, 0.00, 0.00, 0.00, 0.30, 0.00, 0.20, 0.00, 201 
95.80, 84.80, 18.00, 52.60, 28.80, 2.01, 6.60, 6.00, 0.09, 0.00, 0.00, 0.00, 0.40, 0.00, 0.20, 0.00, 201 
95.80, 85.20, 15.60, 50.50, 31.30, 2.23, 7.20, 7.00, 0.49, 0.00, 0.00, 1.90, 0.60, 0.00, 0.00, 2.00, 201 
94.00, 86.50, 14.20, 52.90, 32.00, 2.08, 7.90, 7.90, 0.50, 0.00, 0.00, 0.30, 0.60, 0.00, 0.00, 0.00, 201 
93.90, 86.50, 14.10, 53.10, 32.10, 2.12, 8.00, 6.70, 0.12, 0.00, 0.00, 0.20, 0.50, 0.00, 0.00, 0.00, 201 
94.20, 86.60, 14.20, 52.80, 32.20, 2.08, 7.90, 6.60, 0.13, 0.00, 0.00, 0.20, 0.60, 0.00, 0.00, 0.00, 201 
94.80, 85.50, 13.80, 52.10, 32.70, 2.12, 8.10, 7.20, 0.24, 0.00, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 201 
92.90, 83.00, 17.00, 51.70, 30.20, 1.89, 6.60, 6.20, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 201 
94.30, 84.80, 17.60, 52.60, 28.70, 1.73, 6.60, 5.90, 0.17, 0.00, 0.00, 0.00, 1.10, 0.00, 0.00, 0.00, 201 
95.60, 84.70, 18.80, 51.90, 28.90, 2.01, 6.40, 6.00, 0.09, 0.00, 0.00, 0.00, 0.40, 0.00, 0.20, 0.00, 201 
95.40, 84.10, 17.00, 51.50, 30.30, 1.83, 6.50, 6.00, 0.19, 0.00, 0.00, 0.00, 1.20, 0.00, 0.00, 0.00, 201 
94.20, 86.80, 13.80, 53.10, 31.40, 1.96, 7.80, 6.70, 0.28, 0.00, 0.00, 1.00, 0.60, 0.00, 0.00, 0.00, 201 
93.40, 84.80, 18.10, 54.20, 27.10, 1.79, 6.20, 5.30, 0.09, 0.00, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 201 
94.60, 86.40, 16.20, 54.60, 28.60, 1.87, 6.70, 5.60, 0.09, 0.00, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 201 
96.00, 85.90, 17.60, 51.20, 28.80, 1.87, 6.60, 6.10, 0.42, 0.00, 0.00, 1.50, 0.90, 0.00, 0.00, 0.00, 302 
95.80, 85.70, 15.40, 50.50, 30.00, 2.12, 7.40, 6.60, 0.74, 0.00, 0.00, 3.70, 0.40, 0.00, 0.00, 0.00, 302 
95.80, 85.70, 15.40, 50.50, 30.00, 2.12, 7.40, 6.60, 0.74, 0.00, 0.00, 3.70, 0.40, 0.00, 0.00, 0.00, 302 
96.10, 87.10, 14.90, 50.10, 30.20, 2.12, 7.30, 6.80, 0.86, 0.00, 0.00, 4.30, 0.50, 0.00, 0.00, 0.00, 302 
94.20, 86.50, 14.00, 52.40, 32.70, 2.08, 8.30, 6.80, 0.15, 0.00, 0.00, 0.30, 0.60, 0.00, 0.00, 0.00, 302 
95.60, 86.20, 15.20, 50.90, 29.10, 2.11, 7.20, 6.40, 0.87, 0.00, 0.00, 4.40, 0.40, 0.00, 0.00, 0.00, 302 
94.60, 83.40, 13.00, 51.20, 34.00, 0.42, 8.10, 7.40, 0.30, 0.00, 0.00, 0.50, 1.30, 0.00, 0.00, 0.00, 202 
95.10, 84.20, 13.30, 51.30, 34.00, 0.41, 8.10, 7.30, 0.25, 0.00, 0.00, 0.60, 0.90, 0.00, 0.00, 0.00, 202 
95.90, 89.50, 8.70, 57.00, 29.40, 0.10, 7.10, 9.40, 0.90, 0.00, 0.00, 4.40, 0.60, 0.00, 0.00, 0.00, 301 
94.80, 85.60, 12.50, 47.80, 34.80, 0.07, 7.50, 12.90, 0.90, 0.00, 0.00, 4.40, 0.30, 0.30, 0.00, 0.00, 301 
96.50, 86.10, 13.10, 46.50, 34.40, 0.21, 8.90, 10.10, 1.13, 0.00, 0.30, 4.90, 0.80, 0.00, 0.00, 0.00, 301 
96.70, 86.70, 13.30, 46.30, 33.50, 0.34, 8.50, 9.90, 1.33, 0.00, 0.40, 5.80, 0.80, 0.00, 0.00, 0.00, 301 
94.40, 86.10, 14.00, 50.00, 20.40, 0.40, 5.10, 8.00, 2.80, 0.00, 0.00, 14.50, 0.00, 0.70, 0.30, 0.00, 301 
95.10, 86.00, 13.20, 49.80, 22.50, 0.32, 6.20, 8.00, 2.62, 0.00, 0.00, 13.10, 0.00, 1.40, 0.00, 0.00, 301 
95.70, 87.30, 13.90, 48.80, 25.20, 0.31, 6.90, 8.70, 2.23, 0.00, 0.20, 11.20, 0.00, 0.40, 0.30, 0.00, 301 
95.60, 85.50, 12.70, 48.30, 32.70, 0.31, 8.40, 11.00, 1.14, 0.00, 0.00, 5.70, 0.50, 0.00, 0.00, 0.00, 301 
94.50, 86.90, 13.80, 47.50, 33.30, 0.25, 8.30, 12.10, 1.05, 0.00, 0.30, 4.80, 0.00, 0.00, 0.30, 0.00, 301 
96.60, 85.90, 15.20, 46.80, 33.50, 0.17, 8.60, 11.60, 0.85, 0.00, 0.20, 4.10, 0.00, 0.00, 0.20, 0.00, 301 
