@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
92.50, 83.60, 9.40, 57.30, 31.20, 0.69, 4.90, 4.20, 0.37, 0.00, 0.00, 1.60, 0.50, 0.00, 0.00, 0.00, 201 
92.10, 83.90, 9.60, 56.80, 30.80, 0.70, 5.80, 4.70, 0.49, 0.00, 0.00, 2.50, 0.00, 0.20, 0.00, 0.00, 201 
92.50, 83.90, 10.30, 57.00, 32.20, 0.90, 5.60, 5.40, 0.09, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 201 
92.00, 83.80, 13.00, 57.40, 28.00, 0.84, 5.60, 4.80, 0.18, 0.00, 0.00, 0.80, 0.00, 0.00, 0.20, 0.00, 201 
93.80, 84.50, 13.40, 55.80, 30.10, 0.98, 6.40, 5.60, 0.12, 0.00, 0.00, 0.50, 0.00, 0.00, 0.20, 0.00, 201 
92.70, 84.20, 13.60, 56.80, 28.00, 0.88, 5.70, 4.70, 0.30, 0.00, 0.00, 1.50, 0.00, 0.00, 0.20, 0.00, 201 
93.60, 84.50, 10.90, 57.20, 31.50, 0.97, 6.10, 5.70, 0.05, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 201 
92.30, 83.60, 10.90, 57.50, 29.30, 0.71, 4.90, 4.10, 0.44, 0.00, 0.00, 2.40, 0.00, 0.00, 0.00, 0.00, 201 
93.60, 84.30, 11.80, 56.80, 30.80, 0.89, 5.10, 4.70, 0.10, 0.00, 0.00, 0.30, 0.30, 0.00, 0.00, 0.00, 201 
93.50, 84.70, 12.20, 55.80, 31.20, 0.99, 6.20, 5.90, 0.15, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 201 
93.70, 84.60, 14.20, 54.60, 30.30, 0.89, 6.10, 5.50, 0.13, 0.00, 0.00, 0.20, 0.70, 0.00, 0.00, 0.00, 201 
93.90, 83.70, 15.10, 53.80, 29.70, 0.80, 4.60, 3.80, 0.25, 0.00, 0.00, 0.50, 0.60, 0.00, 0.00, 0.00, 201 
94.00, 84.60, 15.40, 54.90, 28.80, 0.97, 6.20, 5.30, 0.16, 0.00, 0.00, 0.70, 0.00, 0.00, 0.20, 0.00, 201 
91.90, 84.00, 9.40, 57.80, 32.10, 0.89, 6.10, 5.40, 0.15, 0.00, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 201 
92.60, 84.10, 9.90, 56.00, 33.60, 0.91, 6.50, 6.10, 0.09, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 201 
92.80, 84.40, 11.30, 57.10, 31.10, 0.94, 5.90, 5.80, 0.09, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 201 
92.00, 83.60, 11.90, 57.70, 29.80, 0.84, 5.40, 4.80, 0.13, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.00, 201 
94.20, 84.40, 13.50, 53.50, 32.00, 0.96, 6.30, 5.50, 0.16, 0.00, 0.00, 0.60, 0.30, 0.00, 0.00, 0.00, 201 
94.20, 84.50, 13.80, 53.80, 31.40, 0.97, 6.50, 5.60, 0.18, 0.00, 0.00, 0.80, 0.20, 0.00, 0.00, 0.00, 201 
94.20, 84.50, 14.20, 53.40, 31.40, 0.97, 6.40, 5.60, 0.19, 0.00, 0.00, 0.80, 0.30, 0.00, 0.00, 0.00, 201 
93.20, 84.20, 12.30, 56.10, 31.30, 0.85, 5.70, 5.20, 0.05, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 201 
93.50, 84.60, 13.10, 55.80, 30.60, 0.88, 6.20, 5.50, 0.09, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 201 
